model,bdt_cut,mx1,b0_ref,sigmab0_ref
v2_2500_4,0.101000,2.500000,1.494239,0.043896
v2_2500_4,0.102000,2.500000,1.436349,0.043473
v2_2500_4,0.103000,2.500000,1.387349,0.043199
v2_2500_4,0.104000,2.500000,1.344125,0.042919
v2_2500_4,0.105000,2.500000,1.295193,0.042619
v2_2500_4,0.106000,2.500000,1.256251,0.042376
v2_2500_4,0.107000,2.500000,1.208284,0.042087
v2_2500_4,0.108000,2.500000,1.124964,0.037599
v2_2500_4,0.109000,2.500000,1.070474,0.037011
v2_2500_4,0.110000,2.500000,1.037780,0.036777
v2_2500_4,0.111000,2.500000,1.004409,0.036608
v2_2500_4,0.112000,2.500000,0.969832,0.036428
v2_2500_4,0.113000,2.500000,0.933888,0.036088
v2_2500_4,0.114000,2.500000,0.904731,0.035934
v2_2500_4,0.115000,2.500000,0.880874,0.035809
v2_2500_4,0.116000,2.500000,0.846499,0.035596
v2_2500_4,0.117000,2.500000,0.798202,0.032916
v2_2500_4,0.118000,2.500000,0.758166,0.030295
v2_2500_4,0.119000,2.500000,0.734534,0.030146
v2_2500_4,0.120000,2.500000,0.708423,0.029975
v2_2500_4,0.121000,2.500000,0.683101,0.029768
v2_2500_4,0.122000,2.500000,0.651926,0.029392
v2_2500_4,0.123000,2.500000,0.634938,0.029293
v2_2500_4,0.124000,2.500000,0.614412,0.029174
v2_2500_4,0.125000,2.500000,0.595275,0.029052
v2_2500_4,0.126000,2.500000,0.574592,0.028918
v2_2500_4,0.127000,2.500000,0.535047,0.025821
v2_2500_4,0.128000,2.500000,0.502188,0.022490
v2_2500_4,0.129000,2.500000,0.483889,0.022342
v2_2500_4,0.130000,2.500000,0.472037,0.022229
v2_2500_4,0.131000,2.500000,0.447405,0.021658
v2_2500_4,0.132000,2.500000,0.429636,0.021410
v2_2500_4,0.133000,2.500000,0.414185,0.021294
v2_2500_4,0.134000,2.500000,0.401665,0.021210
v2_2500_4,0.135000,2.500000,0.384490,0.021003
v2_2500_4,0.136000,2.500000,0.369112,0.020896
v2_2500_4,0.137000,2.500000,0.357451,0.020820
v2_2500_4,0.138000,2.500000,0.345302,0.020722
